Timestamp,grade,happiness_score,what_happiness,when_Happiness?,who_happiness?,ordinary?,happiness_characterized,last_happiness,q_grades,q_popularity,q_body
11/11/2021 13:24:36,Junior,6,3,3,2,5,Tranquility and Joy,Yes,5,4,5
11/11/2021 13:24:45,Senior,7,3,3,2,2,Tranquility and Joy,Yes,3,3,4
11/11/2021 13:25:05,Senior,3,1,4,3,5,Tranquility and Contentment,Yes,5,4,5
11/11/2021 13:25:12,Freshman,8,3,3,4,4,Intensity and Joy,Yes,5,2,2
11/11/2021 13:25:48,Senior,3,4,4,3,3,Tranquility and Joy,Yes,5,2,5
11/11/2021 13:25:59,Senior,9,2,3,2,2,Intensity and Contentment,Yes,5,5,5
11/11/2021 13:27:32,Senior,7,3,5,2,2,Tranquility and Joy,Yes,5,4,5
11/11/2021 13:27:45,Senior,6,2,3,3,2,Tranquility and Contentment,Yes,4,5,5
11/11/2021 13:28:36,Sophomore,7,4,3,4,2,Tranquility and Joy,No,5,2,4
11/11/2021 13:28:49,Senior,3,1,3,1,5,Intensity and Joy,No,3,3,3
11/11/2021 13:29:22,Senior,8,3,4,2,2,Intensity and Contentment,Yes,3,1,3
11/11/2021 13:31:52,Freshman,6,4,5,3,4,Intensity and Joy,Yes,5,4,5
11/11/2021 13:34:57,Freshman,9,2,3,4,1,Intensity and Joy,Yes,5,3,5
11/11/2021 13:37:30,Sophomore,7,1,3,4,4,Tranquility and Joy,Yes,4,3,4
11/11/2021 13:38:24,Sophomore,2,5,2,3,2,Tranquility and Joy,Yes,5,5,5
11/11/2021 13:40:06,Sophomore,7,5,3,3,1,Tranquility and Joy,Yes,5,2,5
11/11/2021 13:42:55,Senior,8,2,3,3,4,Tranquility and Joy,Yes,4,5,5
11/11/2021 13:43:16,Freshman,8,4,,2,,Tranquility and Contentment,Yes,4,1,1
11/11/2021 13:43:32,Junior,5,2,4,4,4,Intensity and Joy,No,4,5,4
11/11/2021 13:45:51,Freshman,4,3,3,2,,Intensity and Joy,Yes,5,2,5
11/11/2021 13:45:57,Sophomore,6,2,4,1,2,Tranquility and Joy,Yes,5,1,2
11/11/2021 13:49:14,Freshman,9,4,,,,,,,,
11/11/2021 13:56:03,Freshman,6,3,2,3,5,Intensity and Joy,No,5,4,5
11/11/2021 13:59:20,Sophomore,6,1,2,1,3,Tranquility and Joy,Yes,5,5,5
11/11/2021 14:00:51,Sophomore,4,4,3,4,3,Tranquility and Joy,Yes,5,4,5
11/11/2021 14:09:52,Freshman,7,3,4,3,5,Tranquility and Joy,Yes,5,2,5
11/11/2021 14:10:26,Senior,7,3,3,2,2,Tranquility and Joy,Yes,4,4,4
11/11/2021 14:14:24,Senior,7,3,4,1,5,Tranquility and Contentment,Yes,4,3,4
11/11/2021 14:15:54,Freshman,9,4,3,3,5,Tranquility and Joy,Yes,4,4,4
11/11/2021 14:26:06,Sophomore,7,2,4,2,2,Tranquility and Joy,Yes,5,3,3
11/11/2021 14:29:46,Freshman,7,3,4,1,5,Tranquility and Joy,Yes,5,5,5
11/11/2021 14:39:18,Freshman,7,2,2,2,3,Intensity and Joy,Yes,5,4,5
11/11/2021 14:43:44,Freshman,7,5,3,1,3,Tranquility and Joy,Yes,5,5,5
11/11/2021 14:43:58,Junior,7,1,3,2,3,Intensity and Contentment,Yes,5,5,5
11/11/2021 14:48:38,Senior,8,4,3,4,2,Tranquility and Joy,Yes,5,4,4
11/11/2021 14:49:21,Senior,8,4,3,3,2,Tranquility and Joy,Yes,5,5,5
11/11/2021 14:52:00,Junior,5,4,3,5,2,Intensity and Joy,Yes,5,5,5
11/11/2021 14:55:38,Senior,2,3,3,3,5,Intensity and Joy,Yes,5,3,5
11/11/2021 14:57:54,Sophomore,5,4,2,3,4,Intensity and Joy,No,5,4,4
11/11/2021 14:59:29,Sophomore,7,3,4,3,2,Tranquility and Contentment,No,4,3,4
11/11/2021 15:18:41,Sophomore,2,2,4,3,5,Tranquility and Joy,Yes,5,1,5
11/11/2021 16:05:40,Senior,8,5,4,4,5,Tranquility and Joy,Yes,5,2,3
11/11/2021 16:14:25,Sophomore,7,2,4,2,2,Tranquility and Joy,Yes,5,3,3
11/11/2021 16:33:08,Junior,6,4,2,1,2,Tranquility and Joy,Yes,5,4,5
11/11/2021 16:53:25,Sophomore,3,3,3,4,5,Intensity and Joy,No,5,2,5
11/11/2021 17:55:16,Freshman,4,2,4,2,4,Intensity and Joy,No,5,3,5
11/11/2021 18:00:06,Sophomore,7,4,4,2,4,Intensity and Joy,Yes,5,5,5
11/11/2021 18:55:23,Junior,8,3,3,3,3,Tranquility and Contentment,Yes,5,3,4
11/11/2021 18:58:40,Senior,8,4,4,3,3,Tranquility and Joy,Yes,4,4,4
11/11/2021 19:10:27,Junior,7,3,3,2,2,Tranquility and Joy,Yes,5,2,4
11/11/2021 19:31:31,Senior,6,3,3,1,5,Tranquility and Joy,Yes,5,5,5
11/11/2021 19:45:29,Freshman,8,4,3,3,5,Intensity and Joy,Yes,5,5,5
11/11/2021 19:51:47,Junior,7,5,3,2,4,Tranquility and Contentment,Yes,3,1,3
11/11/2021 20:20:51,Sophomore,9,5,3,2,3,Tranquility and Contentment,Yes,5,5,5
11/11/2021 20:29:12,Freshman,6,2,2,4,4,Tranquility and Joy,Yes,5,3,4
11/11/2021 20:39:16,Senior,7,4,3,2,4,Intensity and Joy,Yes,5,2,4
11/11/2021 20:48:09,Freshman,6,1,2,3,2,Intensity and Joy,Yes,4,5,5
11/11/2021 21:41:00,Senior,6,3,3,1,2,Tranquility and Joy,Yes,4,3,4
11/11/2021 22:01:01,Freshman,3,1,3,1,4,Intensity and Contentment,Yes,5,4,5
11/11/2021 22:05:08,Sophomore,4,4,3,2,3,Tranquility and Contentment,Yes,2,3,3
11/11/2021 22:23:51,Freshman,6,4,3,4,3,Intensity and Joy,No,5,5,5
11/11/2021 23:34:57,Freshman,6,3,3,3,5,Tranquility and Joy,Yes,5,4,5
11/11/2021 23:55:53,Freshman,3,3,1,2,4,Intensity and Joy,Yes,2,5,5
11/12/2021 8:28:50,Freshman,8,2,4,2,1,Tranquility and Joy,Yes,5,3,4
11/12/2021 8:45:01,Freshman,5,2,3,4,4,Tranquility and Contentment,Yes,4,5,5
11/12/2021 8:56:34,Junior,9,4,2,1,5,Intensity and Contentment,Yes,4,2,3
11/12/2021 9:34:43,Freshman,8,5,1,5,3,Tranquility and Contentment,No,4,3,4
11/12/2021 10:16:32,Freshman,7,2,3,3,3,Intensity and Contentment,No,5,2,3
11/12/2021 11:02:08,Junior,7,2,3,4,3,Tranquility and Joy,Yes,4,4,4
11/12/2021 11:58:11,Freshman,9,3,2,1,3,Intensity and Joy,Yes,4,2,1
11/12/2021 12:47:26,Senior,8,3,3,3,3,Tranquility and Joy,Yes,5,4,5
11/12/2021 15:49:53,Sophomore,4,4,4,2,5,Tranquility and Joy,No,5,2,3
11/12/2021 22:42:30,Senior,6,5,3,2,3,Tranquility and Contentment,Yes,3,2,3
11/13/2021 15:26:28,Senior,3,3,3,2,3,Tranquility and Contentment,Yes,4,2,5
11/14/2021 13:39:52,Junior,6,4,4,2,3,Tranquility and Joy,No,3,1,3
11/14/2021 15:01:12,Freshman,6,5,1,5,5,Intensity and Contentment,Yes,5,3,5